Countrycode,Latitude,Longitude,Totalmentions,Countryname,Region,Continent
MDV, 3.25, 73, 1002, Maldives, Southern and Central Asia, Asia
FIN, 64, 26, 1021, Finland, Nordic Countries, Europe
NER, 16, 8, 1604, Niger, Western Africa, Africa
URY, -33, -56, 1041, Uruguay, South America, South America
ZWE, -20, 30, 1288, Zimbabwe, Eastern Africa, Africa
PHL, 13, 122, 1017, Philippines, Southeast Asia, Asia
SDN, 15, 30, 2267, Sudan, Northern Africa, Africa
RUS, 60, 100, 1333, Russian Federation, Eastern Europe, Europe
CHN, 35, 105, 2001, China, Eastern Asia, Asia
ESP, 40, -4, 1770, Spain, Southern Europe, Europe
SUR, 4, -56, 1083, Suriname, South America, South America
ARG, -34, -64, 1628, Argentina, South America, South America
SLV, 13.8333, -88.9167, 1137, El Salvador, Central America, North America
MYS, 2.5, 112.5, 1449, Malaysia, Southeast Asia, Asia
NPL, 28, 84, 1666, Nepal, Southern and Central Asia, Asia
PRT, 39.5, -8, 1842, Portugal, Southern Europe, Europe
COL, 4, -72, 1043, Colombia, South America, South America
BLR, 53, 28, 1355, Belarus, Eastern Europe, Europe
MAR, 32, -5, 2152, Morocco, Northern Africa, Africa
LCA, 13.8833, -61.1333, 1049, Saint Lucia, Caribbean, North America
EGY, 27, 30, 2859, Egypt, Northern Africa, Africa
MEX, 23, -102, 1278, Mexico, Central America, North America
BEL, 50.8333, 4, 1226, Belgium, Western Europe, Europe
BRN, 4.5, 114.6667, 299, Brunei, Southeast Asia, Asia
RWA, -2, 30, 1819, Rwanda, Eastern Africa, Africa
CAN, 60, -95, 1514, Canada, North America, North America
ALB, 41, 20, 2864, Albania, Southern Europe, Europe
GRC, 39, 22, 1877, Greece, Southern Europe, Europe
KNA, 17.3333, -62.75, 626, Saint Kitts and Nevis, Caribbean, North America
GUY, 5, -59, 1128, Guyana, South America, South America
LBR, 6.5, -9.5, 2108, Liberia, Western Africa, Africa
ATG, 17.05, -61.8, 915, Antigua and Barbuda, Caribbean, North America
MOZ, -18.25, 35, 2056, Mozambique, Eastern Africa, Africa
JPN, 36, 138, 2659, Japan, Eastern Asia, Asia
YDYE, Democratic Yemen, Middle East
GAB, -1, 11.75, 1306, Gabon, Central Africa, Africa
BGD, 24, 90, 1335, Bangladesh, Southern and Central Asia, Asia
SWE, 62, 15, 1309, Sweden, Nordic Countries, Europe
TUR, 39, 35, 2183, Turkey, Middle East, Asia
TCD, 15, 19, 2103, Chad, Central Africa, Africa
SYR, 35, 38, 3142, Syria, Middle East, Asia
CMR, 6, 12, 1189, Cameroon, Central Africa, Africa
JAM, 18.25, -77.5, 1264, Jamaica, Caribbean, North America
LUX, 49.75, 6.1667, 1353, Luxembourg, Western Europe, Europe
ITA, 42.8333, 12.8333, 1488, Italy, Southern Europe, Europe
AGO, -12.5, 18.5, 2003, Angola, Central Africa, Africa
CRI, 10, -84, 1383, Costa Rica, Central America, North America
CSK, Czechoslovakia, Eastern Europe
BFA, 13, -2, 1269, Burkina Faso, Western Africa, Africa
MNG, 46, 105, 1794, Mongolia, Eastern Asia, Asia
BHR, 26, 50.55, 1988, Bahrain, Middle East, Asia
HTI, 19, -72.4167, 1637, Haiti, Caribbean, North America
OMN, 21, 57, 1518, Oman, Middle East, Asia
CIV, 8, -5, 677, Côte dIvoire, Western Africa, Africa
TGO, 8, 1.1667, 1656, Togo, Western Africa, Africa
CYP, 35, 33, 2097, Cyprus, Middle East, Asia
MUS, -20.2833, 57.55, 1540, Mauritius, Eastern Africa, Africa
MMR, 22, 98, 1086, Myanmar, Southeast Asia, Asia
ARE, 24, 54, 1678, United Arab Emirates, Middle East, Asia
GTM, 15.5, -90.25, 1808, Guatemala, Central America, North America
GRD, 12.1167, -61.6667, 1597, Grenada, Caribbean, North America
LBY, 25, 17, 2076, Libyan Arab Jamahiriya, Northern Africa, Africa
LKA, 7, 81, 1639, Sri Lanka, Southern and Central Asia, Asia
TZA, -6, 35, 2305, Tanzania, Eastern Africa, Africa
SGP, 1.3667, 103.8, 838, Singapore, Southeast Asia, Asia
NOR, 62, 10, 913, Norway, Nordic Countries, Europe
LAO, 18, 105, 1198, Laos, Southeast Asia, Asia
ISL, 65, -18, 1040, Iceland, Nordic Countries, Europe
AFG, 33, 65, 2724, Afghanistan, Southern and Central Asia, Asia
CHL, -30, -71, 1619, Chile, South America, South America
DMA, 15.4167, -61.3333, 1015, Dominica, Caribbean, North America
UKR, 49, 32, 1785, Ukraine, Eastern Europe, Europe
KEN, 1, 38, 2329, Kenya, Eastern Africa, Africa
BLZ, 17.25, -88.75, 1032, Belize, Central America, North America
FRA, 46, 2, 1868, France, Western Europe, Europe
MLI, 17, -4, 1803, Mali, Western Africa, Africa
VCT, 13.25, -61.2, 886, Saint Vincent and the Grenadines, Caribbean, North America
VEN, 8, -66, 1482, Venezuela, South America, South America
MLT, 35.8333, 14.5833, 1647, Malta, Southern Europe, Europe
GHA, 8, -2, 1923, Ghana, Western Africa, Africa
GIN, 11, -10, 1838, Guinea, Western Africa, Africa
GBR, 54, -2, 1406, United Kingdom, British Islands, Europe
ISR, 31.5, 34.75, 3171, Israel, Middle East, Asia
YUG, Yugoslavia, Southern Europe
BRB, 13.1667, -59.5333, 1581, Barbados, Caribbean, North America
IRQ, 33, 44, 3979, Iraq, Middle East, Asia
HUN, 47, 20, 1135, Hungary, Eastern Europe, Europe
AUT, 47.3333, 13.3333, 1858, Austria, Western Europe, Europe
POL, 52, 20, 1333, Poland, Eastern Europe, Europe
GNB, 12, -15, 1745, Guinea-Bissau, Western Africa, Africa
BWA, -22, 24, 1844, Botswana, Southern Africa, Africa
MRT, 20, -12, 1514, Mauritania, Western Africa, Africa
SWZ, -26.5, 31.5, 1024, Swaziland, Southern Africa, Africa
DNK, 56, 10, 1308, Denmark, Nordic Countries, Europe
DOM, 19, -70.6667, 1589, Dominican Republic, Caribbean, North America
MDG, -20, 47, 1076, Madagascar, Eastern Africa, Africa
NIC, 13, -85, 2047, Nicaragua, Central America, North America
BDI, -3.5, 30, 2331, Burundi, Eastern Africa, Africa
CUB, 21.5, -80, 3161, Cuba, Caribbean, North America
IRN, 32, 53, 2481, Iran, Southern and Central Asia, Asia
PAK, 30, 70, 3149, Pakistan, Southern and Central Asia, Asia
SEN, 14, -14, 1902, Senegal, Western Africa, Africa
BGR, 43, 25, 1807, Bulgaria, Eastern Europe, Europe
YEM, 15, 48, 2311, Yemen, Middle East, Asia
STP, 1, 7, 751, Sao Tome and Principe, Central Africa, Africa
NLD, 52.5, 5.75, 1241, Netherlands, Western Europe, Europe
VUT, -16, 167, 956, Vanuatu, Melanesia, Oceania
BOL, -17, -65, 1924, Bolivia, South America, South America
PNG, -6, 147, 2343, Papua New Guinea, Melanesia, Oceania
SLB, -8, 159, 1473, Solomon Islands, Melanesia, Oceania
DEU, 51, 9, 1545, Germany, Western Europe, Europe
ROU, 46, 25, 1648, Romania, Eastern Europe, Europe
KHM, 13, 105, 2061, Cambodia, Southeast Asia, Asia
TUN, 34, 9, 1792, Tunisia, Northern Africa, Africa
BRA, -10, -55, 1422, Brazil, South America, South America
IND, 20, 77, 1846, India, Southern and Central Asia, Asia
IDN, -5, 120, 1667, Indonesia, Southeast Asia, Asia
AUS, -27, 133, 2277, Australia, Australia and New Zealand, Oceania
COD, 0, 25, 1558, Congo The Democratic Republic of the, Central Africa, Africa
HND, 15, -86.5, 1375, Honduras, Central America, North America
GNQ, 2, 10, 1647, Equatorial Guinea, Central Africa, Africa
FJI, -18, 175, 886, Fiji Islands, Melanesia, Oceania
IRL, 53, -8, 2432, Ireland, British Islands, Europe
DZA, 28, 3, 1356, Algeria, Northern Africa, Africa
USA, 38, -97, 2095, United States, North America, North America
LSO, -29.5, 28.5, 1623, Lesotho, Southern Africa, Africa
GMB, 13.4667, -16.5667, 1565, Gambia, Western Africa, Africa
PER, -10, -76, 1312, Peru, South America, South America
DDR, East Germany, Western Europe
THA, 15, 100, 1635, Thailand, Southeast Asia, Asia
JOR, 31, 36, 2397, Jordan, Middle East, Asia
COG, -1, 15, 1610, Congo, Central Africa, Africa
NGA, 10, 8, 2262, Nigeria, Western Africa, Africa
ECU, -2, -77.5, 1627, Ecuador, South America, South America
SAU, 25, 45, 1676, Saudi Arabia, Middle East, Asia
QAT, 25.5, 51.25, 1265, Qatar, Middle East, Asia
SYC, -4.5833, 55.6667, 601, Seychelles, Eastern Africa, Africa
ETH, 8, 38, 2239, Ethiopia, Eastern Africa, Africa
TTO, 11, -61, 1189, Trinidad and Tobago, Caribbean, North America
PRY, -23, -58, 1444, Paraguay, South America, South America
VNM, 16, 106, 1244, Vietnam, Southeast Asia, Asia
NZL, -41, 174, 1736, New Zealand, Australia and New Zealand, Oceania
PAN, 9, -80, 2615, Panama, Central America, North America
MWI, -13.5, 34, 1432, Malawi, Eastern Africa, Africa
DJI, 11.5, 43, 1274, Djibouti, Eastern Africa, Africa
BEN, 9.5, 2.25, 1744, Benin, Western Africa, Africa
SOM, 10, 49, 1605, Somalia, Eastern Africa, Africa
ZMB, -15, 30, 2409, Zambia, Eastern Africa, Africa
CPV, 16, -24, 856, Cape Verde, Western Africa, Africa
BHS, 24.25, -76, 1612, Bahamas, Caribbean, North America
KWT, 29.3375, 47.6581, 2585, Kuwait, Middle East, Asia
UGA, 1, 32, 2241, Uganda, Eastern Africa, Africa
COM, -12.1667, 44.25, 1216, Comoros, Eastern Africa, Africa
ZAF, -29, 24, 567, South Africa, Southern Africa, Africa
LBN, 33.8333, 35.8333, 2510, Lebanon, Middle East, Asia
SLE, 8.5, -11.5, 1697, Sierra Leone, Western Africa, Africa
KOR, 37, 127.5, 291, South Korea, Eastern Asia, Asia
BIH, 44, 18, 619, Bosnia and Herzegovina, Southern Europe, Europe
TON, -20, -175, 380, Tonga, Polynesia, Oceania
EU, European Union, Western Europe
HRV, 45.1667, 15.5, 1132, Croatia, Southern Europe, Europe
NRU, -0.5333, 166.9167, 426, Nauru, Micronesia, Oceania
TUV, -8, 178, 489, Tuvalu, Polynesia, Oceania
NAM, -22, 17, 963, Namibia, Southern Africa, Africa
SMR, 43.7667, 12.4167, 384, San Marino, Southern Europe, Europe
LIE, 47.1667, 9.5333, 248, Liechtenstein, Western Europe, Europe
MKD, 41.8333, 22, 596, Macedonia, Southern Europe, Europe
TLS, -8.55, 125.5167, 358, East Timor, Southeast Asia, Asia
FSM, 6.9167, 158.25, 296, Micronesia Federated States of, Micronesia, Oceania
KIR, 1.4167, 173, 177, Kiribati, Micronesia, Oceania
BTN, 27.5, 90.5, 863, Bhutan, Southern and Central Asia, Asia
SVK, 48.6667, 19.5, 601, Slovakia, Eastern Europe, Europe
WSM, -13.5833, -172.3333, 831, Samoa, Polynesia, Oceania
MNE, 42, 19, 232, Montenegro, Eastern Europe, Europe
GEO, 42, 43.5, 940, Georgia, Middle East, Asia
LTU, 56, 24, 511, Lithuania, Baltic Countries, Europe
AND, 42.5, 1.6, 442, Andorra, Southern Europe, Europe
TJK, 39, 71, 778, Tajikistan, Southern and Central Asia, Asia
MHL, 9, 168, 509, Marshall Islands, Micronesia, Oceania
EST, 59, 26, 633, Estonia, Baltic Countries, Europe
LVA, 57, 25, 971, Latvia, Baltic Countries, Europe
CAF, 7, 21, 1209, Central African Republic, Central Africa, Africa
TKM, 40, 60, 584, Turkmenistan, Southern and Central Asia, Asia
MDA, 47, 29, 681, Moldova, Eastern Europe, Europe
SSD, South Sudan, Northern Africa
KGZ, 41, 75, 504, Kyrgyzstan, Southern and Central Asia, Asia
AZE, 40.5, 47.5, 1257, Azerbaijan, Middle East, Asia
PSE, 32, 35.25, 816, Palestine, Middle East, Asia
PRK, 40, 127, 463, North Korea, Eastern Asia, Asia
CZE, 49.75, 15.5, 531, Czech Republic, Eastern Europe, Europe
ERI, 15, 39, 828, Eritrea, Eastern Africa, Africa
ARM, 40, 45, 743, Armenia, Middle East, Asia
UZB, 41, 64, 440, Uzbekistan, Southern and Central Asia, Asia
PLW, 7.5, 134.5, 467, Palau, Micronesia, Oceania
VAT, 41.9, 12.45, 59, Holy See (Vatican City State), Southern Europe, Europe
MCO, 43.7333, 7.4, 351, Monaco, Western Europe, Europe
CHE, 47, 8, 208, Switzerland, Western Europe, Europe
KAZ, 48, 68, 237, Kazakstan, Southern and Central Asia, Asia
SVN, 46, 15, 385, Slovenia, Southern Europe, Europe
